"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_norm_test","y_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.16965964002156,0.305275624677907,6,0.222222222222222,15,15,0.976622529424269,0.00698563811942506,0.432636480334111,0.585673957623506
"U87.001712",-0.413225756737586,0.694261095140431,12,1,15,15,0.720055554513985,0.566150309327423,0.903114276383454,0.974707485160002
"Y1.001727",0.325667860429872,0.754274270265764,18,0.30952380952381,15,15,0.0799221104147155,0.000800447837976192,1.19756010235693,1.4372502544736
"mmu.let.7b.000378",1.15264099303219,0.282616837783295,19,0.222222222222222,15,15,0.664517595794753,0.14129863093227,1.34589612809396,1.40682453762899
"mmu.let.7c.000379",1.44862559971146,0.185731183224617,19,0.222222222222222,15,15,0.125714451767566,0.0535071254019364,1.32371250044766,1.3585980678385
"mmu.let.7d.002283",0.627814163792559,0.555589301164199,16,0.547619047619048,15,15,0.991348388330815,0.56553766044346,1.09871850501374,1.13812785627792
"mmu.let.7e.002406",1.06810928723328,0.34213023338612,16,0.547619047619048,15,15,0.599284487581159,0.164690936168855,1.36548864975384,1.70860984976481
"mmu.let.7g.002282",0.517425030726201,0.621750892758059,18,0.30952380952381,15,15,0.653008561039726,0.16583998790077,1.1279563481123,1.18748617663884
"mmu.let.7i.002221",1.14220443932656,0.294681544236987,18,0.30952380952381,15,15,0.881997300059117,0.123588882738513,1.20502210396422,1.18206022700923
"mmu.miR.100.000437",-0.963289704059162,0.367390222209932,8,0.420634920634921,14,13,0.400376541950981,0.665635128344036,0.759125216520577,0.773751744418572
"mmu.miR.101a.002253",-0.714890139424703,0.495139472038917,9,0.547619047619048,15,15,0.285843681379327,0.0796777397138523,0.837466322633548,0.812030125155547
"mmu.miR.103.000439",-0.709478938564176,0.498327420224109,8,0.420634920634921,15,13,0.00522224938158805,0.439916655033673,0.768176779254993,0.75841158092749
"mmu.miR.106a.002459",-1.37237235159933,0.207190212125119,7,0.30952380952381,15,15,0.692027682764062,0.443024100506655,0.716747811877358,0.674337936318604
"mmu.miR.106b.000442",0.902300211679293,0.397418724019873,16,0.547619047619048,15,15,0.218057868187626,0.0267303835929308,1.31054793472928,1.25391318409606
"mmu.miR.10a.000387",0.809612148533486,0.447932029526725,18,0.30952380952381,15,15,0.545429361454246,0.222401403375804,1.14250705093067,1.10880179117177
"mmu.miR.10b.002218",1.42913087152192,0.234597357258764,16,0.19047619047619,10,11,0.850444534270365,0.142819377332903,1.95586277514557,1.79465933321893
"mmu.miR.124.001182",1.00919927772447,0.347802491410367,14,0.412698412698413,10,8,0.117474317680713,0.475292997362411,1.30506497004703,1.19854512860288
"mmu.miR.125a.5p.002198",-0.294853087084718,0.777192773079709,11,0.841269841269841,15,14,0.937731916870205,0.37475817467042,0.915938455054801,0.80142683333066
"mmu.miR.125b.5p.000449",0.563568365669432,0.58895147416294,15,0.69047619047619,14,14,0.967175137829921,0.57698199408232,1.21961850399527,1.22812330926931
"mmu.miR.126.3p.002228",-0.131331082997094,0.898868995591757,12,1,12,12,0.165462961064039,0.813125062974084,0.942435215119941,0.920349826119125
"mmu.miR.128a.002216",0.424543399240862,0.682832117218737,16,0.547619047619048,9,12,0.997521334425414,0.399330943411591,1.10670316406644,1.14574636074227
"mmu.miR.130a.000454",-0.558547481735991,0.592152255895494,11,0.841269841269841,14,14,0.193438211147297,0.759147185137413,0.897589820898792,0.902048269898819
"mmu.miR.130b.000456",-0.0421495678499277,0.967429908312611,9,0.547619047619048,15,13,0.277214981241248,0.0431528339069226,0.990215087485872,1.0069607591834
"mmu.miR.139.5p.002289",-0.187111218362421,0.85833313031494,12,1,15,15,0.713562133264,0.296868242034599,0.980535877593675,0.963625834429171
"mmu.miR.140.001187",0.62080101431589,0.552688197724002,15,0.69047619047619,15,14,0.122013504232104,0.74663983802711,1.11615191806358,1.14560523002502
"mmu.miR.141.000463",-0.0483142800021094,0.962966336368491,12,1,15,15,0.472941777152845,0.572371325770941,0.990642626462349,0.942811391654552
"mmu.miR.142.3p.000464",1.22680778125843,0.278504761046232,14,0.412698412698413,10,11,0.953425807784938,0.433263857662777,1.54851932680717,1.46654424761839
"mmu.miR.145.002278",1.55611451181889,0.181019473567415,19,0.222222222222222,13,12,0.767617798606446,0.430368029006381,1.75331770870428,1.49649147900121
"mmu.miR.146a.000468",0.916751000995139,0.39906712318797,16,0.547619047619048,15,15,0.00606961304094689,0.875338587727145,1.25136532177817,1.19880579499363
"mmu.miR.146b.001097",-1.12864250606999,0.298239317074955,6,0.222222222222222,15,15,0.696366747692503,0.0870542171828931,0.812875016933394,0.823104808352168
"mmu.miR.148a.000470",0.948207959000394,0.378274044780643,17,0.420634920634921,15,15,0.277782687706329,0.099193359009026,1.40788911162437,1.28193732840799
"mmu.miR.148b.000471",2.38923378056779,0.0453481373945639,22,0.0555555555555556,8,12,0.859387960111686,0.644748094141264,1.79456632316219,1.89756109947389
"mmu.miR.151.3p.001190",-1.71233200966266,0.130487304342988,6,0.222222222222222,14,13,0.452863526167608,0.504345296041981,0.695235238247601,0.693380641803431
"mmu.miR.152.000475",1.07341716686586,0.330743773056789,18,0.30952380952381,15,15,0.726990772295734,0.529224915287749,1.27494272674426,1.17542966009048
"mmu.miR.155.002571",-0.386269818393267,0.710362514804852,10,0.69047619047619,14,15,0.111770331692459,0.306458021627096,0.873305846929192,0.838289895676878
"mmu.miR.15b.000390",0.160617806804504,0.876465916770974,15,0.69047619047619,15,15,0.826242756119802,0.309529131385303,1.02939198828181,1.03658106273024
"mmu.miR.16.000391",-0.0867418209747393,0.933213503510631,14,0.841269841269841,15,15,0.0692605554630239,0.698874985487371,0.983586175732914,0.956071552368437
"mmu.miR.17.002308",-1.68613369539029,0.133594106241247,6,0.222222222222222,15,15,0.662597925749164,0.432415787638571,0.711320392538774,0.668853074617877
"mmu.miR.181a.000480",-1.46321259561911,0.19437795477737,6,0.222222222222222,15,15,0.975735152695622,0.748081697273639,0.667248668059609,0.69432427817518
"mmu.miR.181c.000482",-1.40249802547357,0.229894914746834,8,0.420634920634921,15,15,0.504920722228587,0.452264742765408,0.444502560745697,0.609664585059267
"mmu.miR.182.002599",1.14022771121696,0.29659027846488,20,0.150793650793651,15,15,0.927768920211991,0.0361487878993601,1.17263218204615,1.19944007631757
"mmu.miR.183.002269",-0.771722292678373,0.475201419882669,9,0.547619047619048,15,14,0.455008560220604,0.869470172783271,0.857572467899495,0.902760808856234
"mmu.miR.186.002285",-0.148536219331453,0.885923689913801,12,1,15,15,0.290006531606993,0.211076011311757,0.965206948659938,0.890232048167942
"mmu.miR.188.5p.002320",1.17841231478998,0.286278472337913,20,0.150793650793651,15,13,0.743446755343443,0.0301935957019832,1.29972105233122,1.39589155520157
"mmu.miR.18a.002422",-0.960363339965629,0.365003496325721,8,0.420634920634921,14,15,0.894287071624209,0.766035958982731,0.783567540029991,0.747384753968796
"mmu.miR.191.002299",-2.17176571143526,0.0853291270820047,0,0.00793650793650794,15,15,0.246597615045111,0.0599862437100616,0.551598026192561,0.572165326287824
"mmu.miR.192.000491",-0.904621869273588,0.394003673419874,8,0.420634920634921,15,15,0.307825271333483,0.561711443544995,0.831731143997247,0.839708300572826
"mmu.miR.193b.002467",-1.30878435199546,0.239719068745044,6,0.222222222222222,15,15,0.173839203937403,0.0928438128743088,0.795927446459089,0.811808353934683
"mmu.miR.194.000493",0.835649743274826,0.428613175129328,16,0.547619047619048,15,15,0.917949951354498,0.919405175432009,1.11422917699775,1.12600522619704
"mmu.miR.195.000494",-0.781186178456292,0.457878995625895,8,0.420634920634921,15,15,0.590220532322656,0.38180259118201,0.940308258552762,0.942086850374576
"mmu.miR.196b.002215",-0.437511989329204,0.676218418000522,10,0.69047619047619,15,15,0.727044741412974,0.915105891458699,0.904625145971371,0.834489072300361
"mmu.miR.19a.000395",-2.00161623153637,0.108615424134476,4,0.0952380952380952,15,15,0.340689498858823,0.195344550283834,0.619222952927014,0.657839022488191
"mmu.miR.19b.000396",-1.16172385313248,0.282006641664531,7,0.30952380952381,15,15,0.707056500281318,0.621135918283914,0.907408666110778,0.910444107384504
"mmu.miR.200a.000502",1.46194458367903,0.186838257975383,21,0.0952380952380952,15,15,0.47096148265658,0.820959028722198,1.1812379363052,1.1732718577673
"mmu.miR.200b.002251",-0.180229607625861,0.864465751994685,15,0.69047619047619,15,15,0.413951189699394,0.0943019412449214,0.96981030796107,1.00819010741327
"mmu.miR.200c.002300",-0.493883988361486,0.635416801180307,11,0.841269841269841,15,15,0.163530815402304,0.266624226894529,0.86015906994261,0.852045351626279
"mmu.miR.203.000507",0.924476480771579,0.391139046786014,16,0.547619047619048,15,15,0.31523967435009,0.871163988347928,1.09085226874531,1.08130329513042
"mmu.miR.205.000509",-0.709349877529015,0.500080977691085,10,0.69047619047619,15,15,0.0130730655851705,0.643052737579296,0.837544448811171,0.827015717176978
"mmu.miR.20a.000580",1.64564481473143,0.144725953909467,20,0.150793650793651,15,15,0.663052382569472,0.839523301111547,1.20423018442693,1.22185697842568
"mmu.miR.20b.001014",-2.0862994829291,0.09460595636903,6,0.222222222222222,15,15,0.324288203661634,0.201225445696727,0.58674200439437,0.626941035977886
"mmu.miR.21.000397",0.4760912175478,0.649227639908948,14,0.841269841269841,15,15,0.725245466101903,0.737678024282448,1.12933258459092,1.08474247787555
"mmu.miR.215.001200",-1.1479559762837,0.28460443707214,7,0.30952380952381,15,15,0.436844104330324,0.343813261475071,0.834311264322728,0.836753225100946
"mmu.miR.218.000521",-0.626319952246192,0.551661527576049,9,0.547619047619048,15,15,0.726954353252087,0.642089036671432,0.898718268513247,0.871709141983914
"mmu.miR.222.002276",-0.789805473801224,0.454219850663962,8,0.420634920634921,15,15,0.963733470793358,0.383040322877773,0.836405849281122,0.786751899984997
"mmu.miR.224.002553",0.881713086387793,0.404167180270923,17,0.420634920634921,15,15,0.898033363323281,0.45959609856132,1.13869768683304,1.15073435844041
"mmu.miR.23b.000400",0.394552665379259,0.704457673217906,13,1,15,15,0.0757502584229504,0.256935239757922,1.13614326241212,1.13392648142215
"mmu.miR.24.000402",2.22868821722278,0.0588592511815036,21,0.0952380952380952,15,15,0.96479338247648,0.932090069466877,1.16314658316317,1.16755048927067
"mmu.miR.25.000403",0.398965631265882,0.701577781821171,10,0.69047619047619,15,15,0.148782969996437,0.000447514660879819,1.20836919408172,1.08836872409602
"mmu.miR.26a.000405",1.47059722399385,0.181752903202609,20,0.150793650793651,15,15,0.928983232997699,0.0431846076189832,1.16798317669934,1.17673480733663
"mmu.miR.26b.000407",1.59936752277615,0.162398287986709,20,0.150793650793651,15,15,0.104543261001321,0.017154483249936,1.20226134314124,1.18357552573124
"mmu.miR.27a.000408",0.257911721836178,0.803251603121585,14,0.841269841269841,15,12,0.768669364691336,0.365912238159266,1.0656455045685,1.0184280981178
"mmu.miR.27b.000409",1.14658320705232,0.285291016551028,19,0.222222222222222,15,15,0.330406146108143,0.0489435117268896,1.30996812252476,1.31785678745078
"mmu.miR.28.000411",-0.205434418478627,0.842377162653507,10,0.69047619047619,15,15,0.973619734799314,0.520757823546989,0.952141093584345,0.960250716332734
"mmu.miR.29a.002112",-0.997871737046029,0.374814299742866,12,1,15,15,0.0266934410011667,0.000142774106202703,0.0183502068674119,0.357594142846324
"mmu.miR.29b.000413",1.49193554822795,0.187611649077368,19,0.222222222222222,13,12,0.287022571204307,0.553360807708406,1.98761708235686,1.83971437133935
"mmu.miR.29c.000587",1.19182516238303,0.272269122715799,18,0.30952380952381,15,15,0.509348997085201,0.0942711129322693,1.14678219828218,1.13993011376824
"mmu.miR.301a.000528",-1.00552766960891,0.362900827474609,8,0.420634920634921,15,15,0.997597917215564,0.612156086352963,0.881108355165296,0.903724842382645
"mmu.miR.301b.002600",-0.911895115472378,0.389211234945067,8,0.420634920634921,15,15,0.91644433516254,0.0947096650643444,0.824819059248583,0.817886561188279
"mmu.miR.30a.000417",0.282497989294261,0.785478202232649,16,0.547619047619048,15,15,0.0394709894932195,0.687445550661294,1.0373644236562,1.02063853429942
"mmu.miR.30b.000602",0.262217089339037,0.799886705212692,15,0.69047619047619,15,15,0.872146349556286,0.131199155817411,1.06809952112456,1.04712850794164
"mmu.miR.30c.000419",0.751196199689765,0.474050151387038,18,0.30952380952381,15,15,0.449154299325221,0.205569037182519,1.10964215150293,1.11238340806229
"mmu.miR.30d.000420",-1.33889399937074,0.237685537772743,8,0.420634920634921,14,15,0.900624425535399,0.785927115408909,0.66381739060415,0.739321610896291
"mmu.miR.30e.002223",-0.602030254231794,0.56722268301349,10,0.69047619047619,15,15,0.649479196626727,0.80209693250842,0.886424479394417,0.916126470773538
"mmu.miR.31.000185",1.37400477780438,0.21609853430128,19,0.222222222222222,15,15,0.577726277748159,0.910838642908323,1.44245754087387,1.37166933674707
"mmu.miR.320.002277",-0.431856721398265,0.681626919066287,11,0.841269841269841,15,15,0.154961879979167,0.000666579099896419,0.856815272053861,0.920384610001966
"mmu.miR.322.001076",-0.490743503496807,0.63822496270197,9,0.547619047619048,11,13,0.848990117095905,0.753109574140575,0.853696561556534,0.888172477341293
"mmu.miR.324.5p.000539",0.867872785412825,0.430288354731475,12,1,12,8,0.163372993951926,0.193884011709307,1.36586517768954,1.15511927559722
"mmu.miR.328.000543",0.886017457509116,0.402969811554862,16,0.547619047619048,15,15,0.548564150448554,0.956783220210651,1.215751553322,1.21342591714404
"mmu.miR.331.3p.000545",-1.98802347120612,0.0907146865304394,4,0.0952380952380952,15,15,0.48887795806344,0.353921489066211,0.801830844967681,0.784470596491478
"mmu.miR.340.3p.002259",-0.452993133808222,0.66263752720253,10,0.69047619047619,15,14,0.0663907340534935,0.542143717741327,0.913491346925264,0.90381084076628
"mmu.miR.340.5p.002258",0.780423423112257,0.464337161872924,15,0.69047619047619,11,13,0.651828706795051,0.917938427556249,1.40314404534767,1.26187189620705
"mmu.miR.342.3p.002260",-0.955103774987256,0.389119113271028,9,0.547619047619048,15,15,0.179464067079113,0.0038126761969554,0.515878588301086,0.677267815437417
"mmu.miR.34b.3p.002618",-0.993900888900629,0.367284544135965,9,0.547619047619048,12,10,0.195845294443063,0.0460941629122915,0.479363805550893,0.506164876696032
"mmu.miR.365.001020",-1.70875019584683,0.128547728566639,4,0.0952380952380952,15,15,0.515068223762921,0.00631292007927271,0.618211853958659,0.623136572953996
"mmu.miR.375.000564",0.39665329593943,0.709481869398834,19,0.222222222222222,15,15,0.914803504321717,0.155244466585873,1.05879364584111,1.09432736718322
"mmu.miR.423.5p.002340",1.26293323302225,0.29348410909832,16,0.19047619047619,9,13,0.106694271911924,0.715223731001024,1.87513481316476,1.60460211975849
"mmu.miR.429.001077",-0.923708384128179,0.386917487538063,9,0.547619047619048,13,13,0.666716241606595,0.818273570549014,0.800624503909091,0.834543080810379
"mmu.miR.484.001821",-2.35176297497192,0.0757532458647777,6,0.222222222222222,15,15,0.523610603901277,0.188390703992561,0.438178540526333,0.499479102792826
"mmu.miR.532.3p.002355",1.98439125057216,0.0960317779298997,21,0.0952380952380952,15,14,0.981388307418225,0.290895781513635,2.13265741398917,2.04706916022741
"mmu.miR.532.5p.001518",0.811576550569372,0.452951141170741,13,1,14,15,0.0114032076449409,0.970787449580857,1.38423599165915,1.26600979705892
"mmu.miR.574.3p.002349",-1.77158995407154,0.128611822436439,6,0.222222222222222,15,15,0.16681556520704,0.0445194337343318,0.58666226724371,0.587685951850668
"mmu.miR.652.002352",1.29233641460914,0.2463864813512,19,0.222222222222222,15,14,0.389649162439478,0.56142877536825,1.51515192010227,1.43541345166892
"mmu.miR.671.3p.002322",-0.548913571407092,0.598053232579188,8,0.420634920634921,12,14,0.128623582761283,0.570352931943449,0.816351141970222,0.788294723720538
"mmu.miR.744.002324",-0.908241647117242,0.409009659296268,9,0.547619047619048,15,15,0.704325695940309,0.367321038152329,0.849665287626989,0.7868885332281
"mmu.miR.7b.002555",-1.40832193847564,0.223698297502557,7,0.30952380952381,15,15,0.0533713761191969,0.474075111613899,0.720842087157816,0.766832262170103
"mmu.miR.872.002264",0.656316002475482,0.544630933375565,14,0.841269841269841,15,15,0.252087796923603,0.395267058012741,1.28493503770552,1.06470407404561
"mmu.miR.92a.000430",-2.59814660443811,0.0364282053286782,2,0.0317460317460317,15,15,0.02361136158267,0.750437278664896,0.732899207771074,0.736069231247044
"mmu.miR.93.001090",-1.08878567622512,0.326438308420866,10,0.69047619047619,15,15,0.817552310306421,0.406606873649502,0.76009774560937,0.816272403886429
"mmu.miR.99a.000435",0.159972531605953,0.877507314930679,14,0.841269841269841,12,14,0.91334938821627,0.781443336864324,1.06166767573236,1.25554979032192
"mmu.miR.99b.000436",0.342573658102424,0.740933072642349,14,0.841269841269841,15,15,0.518128057848195,0.999045168433868,1.07028219611892,1.06111800392438
"rno.miR.190b.002048",0.818049048128262,0.438968742613219,18,0.30952380952381,15,15,0.217263328705187,0.131973113089851,1.19184077092216,1.23464103096234
"rno.miR.196c.002049",1.09244534399138,0.31529073976319,17,0.420634920634921,15,15,0.805770688378972,0.279462172771065,1.17795103663169,1.15257953453578
"rno.miR.224.000599",0.735765124023404,0.482920534621013,16,0.547619047619048,15,15,0.926934470899303,0.010820704728332,1.2552028625846,1.25100891006862
"rno.miR.345.3p.002061",0.45187055589148,0.663738430951965,12,1,15,14,0.0272499934336052,0.0699629482916556,1.14792298432908,1.12274328992578
"snoRNA135.001230",-0.979930809852007,0.357093534816437,8,0.420634920634921,15,15,0.152838826171946,0.857442865737258,0.819865893341813,0.826312409027532
"snoRNA202.001232",-1.45028696718112,0.211785980382353,7,0.30952380952381,15,15,0.483164199006546,0.979704189623395,0.755427677549331,0.796574793780761
